order id,return date,return reason,days to return
ORD00000000,24-08-2023,Changed mind,19
ORD00000001,02-11-2023,Wrong item,24
ORD00000002,,,
ORD00000003,,,
ORD00000004,,,
ORD00000005,02-03-2024,Defective,17
ORD00000006,03-06-2023,Wrong item,5
ORD00000007,09-02-2023,Not as described,0
ORD00000008,04-01-2025,Defective,10
ORD00000009,13-03-2023,Not as described,3
ORD00000010,,,
ORD00000011,,,
ORD00000012,,,
ORD00000013,,,
ORD00000014,,,
ORD00000015,07-10-2024,Wrong item,5
ORD00000016,,,
ORD00000017,13-02-2023,Defective,10
ORD00000018,20-10-2024,Changed mind,13
ORD00000019,12-07-2024,Changed mind,6
ORD00000020,,,
ORD00000021,24-03-2024,Changed mind,25
ORD00000022,04-08-2024,Wrong item,22
ORD00000023,25-07-2024,Wrong item,24
ORD00000024,,,
ORD00000025,,,
ORD00000026,,,
ORD00000027,,,
ORD00000028,12-06-2024,Defective,28
ORD00000029,,,
ORD00000030,,,
ORD00000031,,,
ORD00000032,,,
ORD00000033,25-02-2024,Wrong item,22
ORD00000034,,,
ORD00000035,,,
ORD00000036,05-02-2024,Defective,29
ORD00000037,24-02-2023,Wrong item,13
ORD00000038,,,
ORD00000039,09-11-2024,Wrong item,13
ORD00000040,,,
ORD00000041,10-01-2024,Changed mind,7
ORD00000042,,,
ORD00000043,07-06-2024,Wrong item,15
ORD00000044,,,
ORD00000045,28-11-2023,Changed mind,13
ORD00000046,24-05-2023,Changed mind,2
ORD00000047,23-10-2024,Wrong item,0
ORD00000048,25-04-2024,Not as described,6
ORD00000049,,,
ORD00000050,01-07-2023,Defective,17
ORD00000051,,,
ORD00000052,,,
ORD00000053,08-04-2024,Defective,27
ORD00000054,,,
ORD00000055,13-05-2023,Changed mind,13
ORD00000056,,,
ORD00000057,11-10-2024,Changed mind,19
ORD00000058,,,
ORD00000059,,,
ORD00000060,17-11-2024,Wrong item,22
ORD00000061,,,
ORD00000062,,,
ORD00000063,,,
ORD00000064,06-07-2024,Wrong item,0
ORD00000065,25-06-2023,Defective,22
ORD00000066,,,
ORD00000067,13-11-2023,Not as described,6
ORD00000068,29-11-2023,Wrong item,16
ORD00000069,,,
ORD00000070,18-06-2024,Defective,25
ORD00000071,,,
ORD00000072,,,
ORD00000073,,,
ORD00000074,,,
ORD00000075,03-06-2023,Not as described,26
ORD00000076,,,
ORD00000077,29-04-2023,Not as described,20
ORD00000078,28-05-2023,Not as described,21
ORD00000079,,,
ORD00000080,,,
ORD00000081,09-04-2024,Defective,19
ORD00000082,17-03-2023,Changed mind,0
ORD00000083,25-06-2023,Not as described,17
ORD00000084,,,
ORD00000085,,,
ORD00000086,,,
ORD00000087,,,
ORD00000088,22-12-2023,Changed mind,10
ORD00000089,,,
ORD00000090,,,
ORD00000091,06-01-2025,Not as described,12
ORD00000092,12-10-2023,Changed mind,10
ORD00000093,30-07-2023,Defective,1
ORD00000094,,,
ORD00000095,,,
ORD00000096,08-07-2023,Defective,20
ORD00000097,21-12-2024,Defective,13
ORD00000098,,,
ORD00000099,06-01-2024,Wrong item,30
ORD00000100,,,
ORD00000101,16-05-2024,Wrong item,15
ORD00000102,,,
ORD00000103,,,
ORD00000104,19-04-2023,Defective,9
ORD00000105,,,
ORD00000106,19-09-2023,Changed mind,16
ORD00000107,,,
ORD00000108,,,
ORD00000109,,,
ORD00000110,,,
ORD00000111,26-08-2024,Defective,23
ORD00000112,13-05-2024,Not as described,1
ORD00000113,,,
ORD00000114,,,
ORD00000115,19-06-2024,Not as described,12
ORD00000116,28-09-2023,Defective,2
ORD00000117,23-02-2024,Changed mind,19
ORD00000118,28-12-2023,Not as described,24
ORD00000119,,,
ORD00000120,11-08-2024,Changed mind,3
ORD00000121,,,
ORD00000122,,,
ORD00000123,15-07-2024,Changed mind,11
ORD00000124,,,
ORD00000125,,,
ORD00000126,,,
ORD00000127,,,
ORD00000128,,,
ORD00000129,,,
ORD00000130,,,
ORD00000131,16-06-2024,Changed mind,23
ORD00000132,07-03-2023,Defective,20
ORD00000133,,,
ORD00000134,02-02-2023,Wrong item,8
ORD00000135,09-06-2024,Changed mind,9
ORD00000136,30-01-2023,Wrong item,7
ORD00000137,09-08-2024,Not as described,23
ORD00000138,,,
ORD00000139,04-05-2024,Changed mind,25
ORD00000140,25-10-2024,Changed mind,16
ORD00000141,28-08-2023,Wrong item,30
ORD00000142,,,
ORD00000143,,,
ORD00000144,12-08-2024,Defective,9
ORD00000145,,,
ORD00000146,,,
ORD00000147,,,
ORD00000148,,,
ORD00000149,,,
ORD00000150,18-09-2024,Wrong item,17
ORD00000151,,,
ORD00000152,,,
ORD00000153,13-11-2024,Defective,24
ORD00000154,,,
ORD00000155,24-07-2024,Changed mind,27
ORD00000156,,,
ORD00000157,,,
ORD00000158,,,
ORD00000159,29-09-2023,Defective,14
ORD00000160,25-11-2023,Not as described,21
ORD00000161,,,
ORD00000162,25-07-2024,Changed mind,19
ORD00000163,26-05-2023,Defective,29
ORD00000164,23-06-2024,Changed mind,21
ORD00000165,26-10-2023,Wrong item,25
ORD00000166,,,
ORD00000167,24-11-2024,Defective,8
ORD00000168,,,
ORD00000169,01-04-2024,Defective,13
ORD00000170,01-12-2023,Changed mind,0
ORD00000171,09-01-2024,Wrong item,23
ORD00000172,12-09-2024,Not as described,17
ORD00000173,20-06-2023,Not as described,15
ORD00000174,,,
ORD00000175,10-10-2024,Changed mind,30
ORD00000176,,,
ORD00000177,,,
ORD00000178,,,
ORD00000179,06-02-2024,Not as described,25
ORD00000180,,,
ORD00000181,10-10-2024,Not as described,18
ORD00000182,15-11-2023,Wrong item,15
ORD00000183,19-04-2023,Not as described,19
ORD00000184,14-12-2023,Changed mind,27
ORD00000185,,,
ORD00000186,17-06-2024,Wrong item,17
ORD00000187,05-10-2024,Not as described,25
ORD00000188,27-07-2023,Defective,1
ORD00000189,,,
ORD00000190,,,
ORD00000191,21-12-2023,Not as described,13
ORD00000192,,,
ORD00000193,,,
ORD00000194,14-01-2024,Wrong item,6
ORD00000195,,,
ORD00000196,25-04-2024,Wrong item,15
ORD00000197,,,
ORD00000198,,,
ORD00000199,,,
ORD00000200,,,
ORD00000201,,,
ORD00000202,,,
ORD00000203,,,
ORD00000204,11-05-2023,Not as described,16
ORD00000205,,,
ORD00000206,,,
ORD00000207,,,
ORD00000208,,,
ORD00000209,22-07-2024,Wrong item,2
ORD00000210,,,
ORD00000211,12-12-2023,Not as described,1
ORD00000212,14-10-2024,Not as described,1
ORD00000213,05-12-2023,Not as described,28
ORD00000214,28-07-2023,Defective,3
ORD00000215,,,
ORD00000216,,,
ORD00000217,,,
ORD00000218,,,
ORD00000219,05-01-2025,Not as described,22
ORD00000220,24-11-2023,Not as described,15
ORD00000221,17-05-2023,Changed mind,28
ORD00000222,,,
ORD00000223,07-07-2023,Not as described,28
ORD00000224,27-04-2023,Defective,27
ORD00000225,,,
ORD00000226,,,
ORD00000227,10-10-2023,Wrong item,15
ORD00000228,,,
ORD00000229,22-06-2023,Defective,16
ORD00000230,06-06-2023,Defective,25
ORD00000231,,,
ORD00000232,07-09-2024,Defective,0
ORD00000233,,,
ORD00000234,,,
ORD00000235,,,
ORD00000236,11-11-2023,Changed mind,17
ORD00000237,25-12-2023,Wrong item,15
ORD00000238,17-06-2024,Changed mind,0
ORD00000239,,,
ORD00000240,,,
ORD00000241,14-03-2023,Changed mind,3
ORD00000242,27-02-2024,Wrong item,5
ORD00000243,13-02-2024,Not as described,18
ORD00000244,16-08-2024,Changed mind,3
ORD00000245,,,
ORD00000246,,,
ORD00000247,28-08-2024,Defective,19
ORD00000248,16-07-2023,Changed mind,27
ORD00000249,25-03-2023,Defective,28
ORD00000250,26-02-2023,Changed mind,20
ORD00000251,,,
ORD00000252,20-01-2024,Not as described,17
ORD00000253,29-04-2024,Changed mind,5
ORD00000254,02-01-2025,Changed mind,24
ORD00000255,08-11-2023,Wrong item,11
ORD00000256,,,
ORD00000257,,,
ORD00000258,,,
ORD00000259,,,
ORD00000260,26-02-2023,Defective,28
ORD00000261,17-11-2024,Defective,27
ORD00000262,27-05-2023,Wrong item,14
ORD00000263,05-04-2023,Defective,11
ORD00000264,,,
ORD00000265,,,
ORD00000266,04-06-2023,Wrong item,26
ORD00000267,30-07-2024,Changed mind,11
ORD00000268,,,
ORD00000269,19-09-2024,Not as described,0
ORD00000270,20-01-2024,Defective,30
ORD00000271,21-10-2024,Defective,26
ORD00000272,03-06-2024,Not as described,1
ORD00000273,,,
ORD00000274,03-02-2024,Defective,15
ORD00000275,,,
ORD00000276,,,
ORD00000277,03-08-2023,Not as described,3
ORD00000278,10-06-2023,Defective,4
ORD00000279,17-06-2024,Defective,10
ORD00000280,,,
ORD00000281,15-12-2023,Defective,7
ORD00000282,21-12-2024,Wrong item,26
ORD00000283,04-08-2024,Wrong item,9
ORD00000284,19-11-2024,Wrong item,17
ORD00000285,23-01-2025,Wrong item,28
ORD00000286,,,
ORD00000287,,,
ORD00000288,12-02-2023,Wrong item,3
ORD00000289,21-04-2024,Not as described,5
ORD00000290,,,
ORD00000291,17-05-2024,Changed mind,13
ORD00000292,,,
ORD00000293,17-10-2024,Changed mind,17
ORD00000294,05-06-2023,Not as described,5
ORD00000295,26-03-2023,Defective,10
ORD00000296,,,
ORD00000297,,,
ORD00000298,07-03-2023,Defective,13
ORD00000299,,,
ORD00000300,,,
ORD00000301,17-11-2023,Not as described,30
ORD00000302,11-09-2023,Wrong item,3
ORD00000303,,,
ORD00000304,04-08-2023,Changed mind,8
ORD00000305,,,
ORD00000306,,,
ORD00000307,07-01-2024,Changed mind,24
ORD00000308,,,
ORD00000309,,,
ORD00000310,16-01-2023,Not as described,0
ORD00000311,,,
ORD00000312,,,
ORD00000313,02-10-2024,Wrong item,5
ORD00000314,18-10-2023,Wrong item,5
ORD00000315,21-09-2024,Changed mind,5
ORD00000316,,,
ORD00000317,,,
ORD00000318,04-11-2024,Defective,7
ORD00000319,19-11-2023,Wrong item,9
ORD00000320,10-05-2024,Changed mind,11
ORD00000321,,,
ORD00000322,,,
ORD00000323,,,
ORD00000324,,,
ORD00000325,,,
ORD00000326,,,
ORD00000327,,,
ORD00000328,,,
ORD00000329,,,
ORD00000330,,,
ORD00000331,,,
ORD00000332,,,
ORD00000333,,,
ORD00000334,,,
ORD00000335,10-04-2023,Defective,25
ORD00000336,18-10-2023,Defective,2
ORD00000337,,,
ORD00000338,,,
ORD00000339,,,
ORD00000340,,,
ORD00000341,27-05-2023,Changed mind,7
ORD00000342,21-08-2024,Defective,26
ORD00000343,09-04-2023,Changed mind,16
ORD00000344,,,
ORD00000345,,,
ORD00000346,27-05-2023,Wrong item,23
ORD00000347,,,
ORD00000348,,,
ORD00000349,19-10-2023,Wrong item,5
ORD00000350,02-10-2024,Not as described,11
ORD00000351,,,
ORD00000352,,,
ORD00000353,08-05-2024,Changed mind,0
ORD00000354,,,
ORD00000355,,,
ORD00000356,28-04-2024,Wrong item,2
ORD00000357,,,
ORD00000358,29-01-2023,Defective,27
ORD00000359,,,
ORD00000360,27-12-2023,Wrong item,24
ORD00000361,24-12-2023,Changed mind,11
ORD00000362,,,
ORD00000363,22-06-2023,Defective,23
ORD00000364,16-01-2024,Defective,21
ORD00000365,17-03-2023,Not as described,13
ORD00000366,,,
ORD00000367,16-04-2024,Wrong item,27
ORD00000368,,,
ORD00000369,03-03-2024,Changed mind,23
ORD00000370,,,
ORD00000371,,,
ORD00000372,07-09-2023,Wrong item,28
ORD00000373,18-09-2024,Changed mind,5
ORD00000374,,,
ORD00000375,28-11-2023,Not as described,3
ORD00000376,08-05-2024,Changed mind,7
ORD00000377,15-12-2024,Wrong item,5
ORD00000378,,,
ORD00000379,28-09-2023,Not as described,5
ORD00000380,,,
ORD00000381,,,
ORD00000382,,,
ORD00000383,,,
ORD00000384,31-08-2023,Defective,26
ORD00000385,06-06-2023,Defective,16
ORD00000386,18-07-2024,Defective,10
ORD00000387,25-09-2024,Wrong item,17
ORD00000388,,,
ORD00000389,,,
ORD00000390,,,
ORD00000391,14-01-2024,Defective,23
ORD00000392,17-09-2024,Wrong item,11
ORD00000393,26-07-2023,Wrong item,7
ORD00000394,07-05-2023,Not as described,4
ORD00000395,,,
ORD00000396,,,
ORD00000397,,,
ORD00000398,,,
ORD00000399,,,
ORD00000400,,,
ORD00000401,16-12-2023,Changed mind,22
ORD00000402,23-05-2023,Not as described,12
ORD00000403,,,
ORD00000404,,,
